Currency,Price,Boat Type,Manufacturer,Type,Year Built,Material,Location,Number of views last 7 days,Country
EUR ,10000,"Cabin Boat,Trawler",Werner  power boats,"Used boat,Diesel",1940,Steel,Germany » Brandenburg » Zehdenick,900,Germany
EUR ,10000,Sport Boat,A. Mostes power boats,"Used boat,Unleaded",1991,GRP,Italy » Lombardia - Trentino Alto Adige » Campione d'Italia ,783,Italy
EUR ,10000,Sport Boat,Bayliner power boats,Used boat,1995,PVC,"France » CAP D'AGDE, CAP D'AGDE",175,France
EUR ,10000,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",1995,PVC,"France » CAP D'AGDE, CAP D'AGDE",207,France
EUR ,11000,Sport Boat,Bayliner power boats,Used boat,1988,GRP,Italy » Friuli-Venezia Giulia,284,Italy
EUR ,11000,Motor Yacht,Chrysler power boats,"Used boat,Unleaded",1974,GRP,Germany » INFO DD-YACHTING,125,Germany
EUR ,11000,Cabin Boat,Stingray power boats,Used boat,1997,GRP,Italy » Venezia,229,Italy
EUR ,11000,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,PVC,"France » GRANVILLE, GRANVILLE",226,France
EUR ,11000,"Bowrider,Classic",Sunbird power boats,"Used boat,Unleaded",1971,Wood,"France » Dienville, Dienville",87,France
EUR ,11000,Cabin Boat,Glastron power boats,"Used boat,Unleaded",1998,GRP,Italy,175,Italy
EUR ,11000,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1992,GRP,Italy » Lake Garda » Moniga del Garda (BS) ,173,Italy
EUR ,11000,"Motor Yacht,Sport Boat",Rio power boats,"Used boat,Unleaded",2000,GRP,Spain » Baleares » Porto Colom ,422,Spain
EUR ,11000,Cabin Boat,Birchwood power boats,"Used boat,Unleaded",1986,GRP,Germany » Rhein » Neuwied ,243,Germany
EUR ,11000,Sport Boat,Bayliner power boats,Used boat,1987,GRP,Netherlands » In verkoophaven,254,Netherlands
EUR ,10999,Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,GRP,Germany » Kieler Bucht mit Fehmarn » Kiel,150,Germany
EUR ,10999,Sport Boat,BlueCraft power boats,"new boat from stock,Unleaded",2020,GRP,Germany » Nordrhein-Westfalen » Wesel,255,Germany
EUR ,10999,Sport Boat,Remus power boats,new boat from stock,2020,GRP,Germany » Nordrhein-Westfalen » Wesel,179,Germany
EUR ,10990,Cabin Boat,Quicksilver power boats,"Used boat,Unleaded",2003,GRP,Germany » Verkaufshafen Brandenburg-Plaue,169,Germany
EUR ,10990,Cabin Boat,Polar power boats,Diesel,1977,GRP,Germany » Ostsee » Rügen/Ostsee,136,Germany
EUR ,12000,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",1993,PVC,"France » Mandelieu, France",141,France
EUR ,12000,"Classic,Runabout,Sport Boat",Cranchi power boats,"Used boat,Unleaded",1990,GRP,Serbia » Belgrade,442,Serbia
EUR ,12000,Cabin Boat,Wiking power boats,"Used boat,Diesel",1979,GRP,Germany » Berlin » 12527,327,Germany
EUR ,12000,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1988,Plastic,Italy » Veneto » Pacengo ,188,Italy
EUR ,12000,"Cabin Boat,Motor Yacht",Fjord power boats,"Used boat,Diesel",1978,GRP,Germany » Mecklenburg-Vorpommern » Kröslin ,1101,Germany
EUR ,11990,Sport Boat,Quicksilver power boats,"Used boat,Unleaded",2005,PVC,"France » Chalon-sur-Saône, France",141,France
CHF ,12950,Sport Boat,Atlantic Marine power boats,new boat from stock,2019,GRP,Switzerland » Kesswil ,284,Switzerland
CHF ,12900,Runabout,Safter Marine power boats,new boat from stock,2020,GRP,Switzerland » Zugersee » Neuheim ,273,Switzerland
CHF ,12900,Working Boat,Tinn-Silver power boats,"Display Model,Unleaded",2019,Aluminium,Switzerland » Zugersee » Ruswil,365,Switzerland
EUR ,12770,Bowrider,Maxima power boats,new boat from stock,2020,GRP,Germany » Lake Constance » Konstanz-Dettingen,180,Germany
EUR ,12500,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,GRP,Italy » Friuli Venezia Giulia » Marina Lepanto - Monfalcone GO,147,Italy
EUR ,12500,Trawler,Schlosswerft power boats,"Used boat,Diesel",1913,Steel,Germany » Baden-Württemberg » Überlingen,235,Germany
EUR ,12500,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1994,GRP,Italy » Gardasee,452,Italy
EUR ,12500,Cabin Boat,Compromis power boats,Used boat,1983,GRP,Netherlands » In verkoophaven,165,Netherlands
CHF ,14800,"Cabin Boat,Sport Boat",Windy power boats,"Used boat,Unleaded",1984,GRP,Switzerland » Finstersee,436,Switzerland
EUR ,13690,Deck Boat,Jeanneau power boats,new boat from stock,2014,PVC,"Slovak Republic » Bratislava, Slovaquie",35,Slovak Republic
CHF ,14700,Bowrider,Yamarin power boats,new boat from stock,2018,GRP,Switzerland » Vierwaldstättersee » Luzern ,212,Switzerland
EUR ,13500,Sport Boat,Acquaviva (IT) power boats,"Used boat,Unleaded",1998,GRP,Italy » Toscana » Toscana,121,Italy
EUR ,13500,Pilothouse,Arvor power boats,"Used boat,Diesel",1999,PVC,"France » PLOUGERNEAU, France",110,France
EUR ,13500,Motor Yacht,Bayliner power boats,Used boat,1995,GRP,Netherlands » In verkoophaven,83,Netherlands
EUR ,13500,Sport Boat,Lema power boats,"Used boat,Diesel",1996,PVC,Spain » Torrevieja,264,Spain
EUR ,13500,Center console boat,Ranieri power boats,"Used boat,Unleaded",2002,GRP,Italy » Lombardia - Trentino Alto Adige » Moniga ,109,Italy
EUR ,13500,Sport Boat,Windy power boats,"Used boat,Unleaded",1990,GRP,Croatia (Hrvatska) » INFO DD-YACHTING,132,Croatia (Hrvatska)
EUR ,13500,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2014,PVC,"France » ANDERNOS, ANDERNOS",81,France
EUR ,13500,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Diesel",2006,Steel,"France » PORNICHET, France",262,France
EUR ,14500,Bowrider,Bayliner power boats,"Used boat,Unleaded",1998,PVC,"Portugal » Portimão, Portugal",186,Portugal
CHF ,15600,Fishing Boat,Smartliner power boats,new boat on order,2020,GRP,Switzerland » Lake Geneva » Romanel,292,Switzerland
EUR ,14366,Runabout,Karnic power boats,new boat from stock,2018,GRP,Germany » Lake Constance » Lindau/Bodensee,119,Germany
