Currency,Price,Boat Type,Manufacturer,Type,Year Built,Material,Location,Number of views last 7 days,Country
EUR ,235000,"Hardtop,Motor Yacht,Sport Boat",Bavaria power boats,"Used boat,Unleaded",2017,GRP,Croatia (Hrvatska) » Pula ,482,Croatia (Hrvatska)
EUR ,235000,Motor Yacht,Gruno power boats,"Used boat,Diesel",2018,Steel,Greetsile/ Krummhörn,397,Greetsile/ Krummhörn
EUR ,234900,Motor Yacht,Princess power boats,"Used boat,Diesel",2002,GRP,Greece,117,Greece
EUR ,234800,Motor Yacht,Sessa power boats,"Used boat,Diesel",2009,GRP,France » Côte d'Azur » Cannes ,157,France
DKK ,1735382,Motor Yacht,Greenline power boats,"new boat from stock,Diesel",2020,GRP,Denmark » ab værft,72,Denmark
EUR ,232000,Motor Yacht,Sunseeker power boats,Used boat,2007,GRP,Croatia (Hrvatska) » INFO DD-YACHTING,83,Croatia (Hrvatska)
CHF ,250000,Cabin Boat,Aquador power boats,"Used boat,Diesel",2017,GRP,Switzerland » Vierwaldstättersee » Hergiswil,261,Switzerland
CHF ,249000,Motor Yacht,Loon power boats,"Used boat,Diesel",2015,Aluminium,Switzerland » Basel ,171,Switzerland
EUR ,229900,Flybridge,Azimut power boats,"Used boat,Diesel",2005,GRP,Croatia (Hrvatska) » INFO BOOTE RIEDL NOVIGRAD,100,Croatia (Hrvatska)
EUR ,229900,Flybridge,Azimut power boats,"Used boat,Diesel",2002,GRP,Greece,124,Greece
EUR ,229500,Sport Boat,Viper power boats,"Used boat,Unleaded",2019,GRP,Germany » 2,96,Germany
EUR ,229000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2007,GRP,Greece,123,Greece
EUR ,229000,Hardtop,Innovazioni e Progetti power boats,"Used boat,Diesel",2008,GRP,Italy » Veneto » Veneto,37,Italy
EUR ,229000,Trawler,Altena power boats,"Used boat,Diesel",2012,Steel,Netherlands » In verkoophaven,110,Netherlands
EUR ,229000,Motor Yacht,Pacific power boats,Used boat,2003,Steel,Netherlands » In verkoophaven,54,Netherlands
EUR ,229000,Flybridge,Sealine power boats,"Used boat,Diesel",2007,GRP,Croatia (Hrvatska) » INFO BOOTE RIEDL ZADAR,34,Croatia (Hrvatska)
EUR ,229000,Motor Yacht,Innovazioni e Progetti power boats,"Used boat,Diesel",2007,GRP,Croatia (Hrvatska),111,Croatia (Hrvatska)
EUR ,229000,Motor Yacht,Itama power boats,"Used boat,Diesel",2006,GRP,France » Côte d'Azur » Cogolin,78,France
EUR ,229000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2009,GRP,Croatia (Hrvatska),50,Croatia (Hrvatska)
EUR ,229000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2017,PVC,"France » Pornic, France",45,France
EUR ,229000,Pilothouse,Jeanneau power boats,"Used boat,Diesel",2015,GRP,Croatia (Hrvatska) » INFO BOOTE RIEDL SUKOSAN,96,Croatia (Hrvatska)
EUR ,229000,Motor Yacht,Pershing power boats,"Used boat,Diesel",2002,GRP,Italy » Lake Garda » Verona ,171,Italy
EUR ,229000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2016,GRP,Germany » Neustadt i.H. ,186,Germany
EUR ,229000,Trawler,Zuiderzee power boats,Used boat,2000,Steel,Netherlands » In verkoophaven,123,Netherlands
EUR ,229000,Motor Yacht,Cruisers Yachts power boats,"Used boat,Diesel",2007,GRP,Netherlands » On request,69,Netherlands
EUR ,228975,Bowrider,Frauscher power boats,"new boat from stock,Unleaded",2019,GRP,Switzerland » Lake Constance » Gottlieben ,620,Switzerland
EUR ,228000,Pontoon Boat,Performance power boats,"Used boat,Unleaded",2009,GRP,Italy » Gardasee,173,Italy
DKK ,1695000,Trawler,BÃ©nÃ©teau power boats,Used boat,2007,GRP,Denmark » Nordsjælland,113,Denmark
CHF ,246000,Pilothouse,Ranieri International power boats,new boat from stock,2017,GRP,"Switzerland » Bielersee » Le Landeron, Neuchâtel ",290,Switzerland
EUR ,227500,Hardtop,Marex power boats,Used boat,2016,GRP,Netherlands » Bestboats Roermond,212,Netherlands
DKK ,1680000,Motor Yacht,Motiva power boats,"Used boat,Diesel",2002,Steel,Denmark » Vinter hal i Kappelen nord tyskland efter med RM.,73,Denmark
EUR ,225000,Sport Boat,Cantieri di Sarnico power boats,Used boat,2000,GRP,Italy » Liguria » Liguria,75,Italy
EUR ,225000,Sport Boat,Rivers and Tides power boats,"new boat from stock,Electric",2017,Wood,Austria » Linz,44,Austria
EUR ,225000,Motor Yacht,Condor Yachting power boats,"Used boat,Diesel",1999,Steel,France » France ,524,France
EUR ,225000,"House Boat,Motor Yacht,Trawler",Hollandia power boats,"Used boat,Diesel",1998,Steel,Sweden » Askersund ,471,Sweden
EUR ,225000,Flybridge,Jeanneau power boats,"Used boat,Diesel",2007,GRP,Croatia (Hrvatska),127,Croatia (Hrvatska)
EUR ,224916,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,PVC,"France » ARCACHON, ARCACHON",46,France
EUR ,224391,Hardtop,Jeanneau power boats,"Used boat,Unleaded",2020,PVC,"France » LA ROCHELLE, France",34,France
EUR ,224200,Motor Yacht,Azimut power boats,"Used boat,Diesel",1998,GRP,Spain » Santa Margarita,108,Spain
EUR ,224000,Pilothouse,Nimbus power boats,Used boat,2017,GRP,"Switzerland » Lake Constance » XM-Marine GmbH, Bottighofen, Kreuzlingen/Konstanz",295,Switzerland
EUR ,223129,Motor Yacht,Parker power boats,"new boat from stock,Unleaded",2019,GRP,Germany » Nordrhein-Westfalen » Erftstadt,71,Germany
DKK ,1657500,Motor Yacht,Sessa power boats,"new boat from stock,Diesel",2011,GRP,Denmark » Frankrig,50,Denmark
CHF ,238050,Cabin Boat,Q-Yachts power boats,"new boat from stock,Electric",2019,GRP,Switzerland » Lake of Zurich » Meilen ,280,Switzerland
EUR ,220000,Flybridge,Azimut power boats,"Used boat,Diesel",2004,GRP,Italy » Sardegna » Sardegna,44,Italy
EUR ,220000,Flybridge,Princess power boats,"Used boat,Diesel",1996,GRP,Portugal » LISBOA,47,Portugal
EUR ,220000,"Classic,Flybridge",Cantieri di Pisa power boats,"Used boat,Diesel",1980,Wood,Italy » Mar Tirreno,199,Italy
EUR ,220000,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",2003,GRP,Turkey » Istanbul,109,Turkey
EUR ,220000,Center console boat,Rhea power boats,"Used boat,Diesel",2017,PVC,"France » Bénodet, France",76,France
EUR ,220000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2011,GRP,Italy » Lazio » Lazio,52,Italy
EUR ,220000,Hardtop,Absolute power boats,"Used boat,Diesel",2008,GRP,"Italy » Liguria » Genova, Liguria",105,Italy
EUR ,220000,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2012,GRP,Croatia (Hrvatska) » Dalmatia,134,Croatia (Hrvatska)
EUR ,219900,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2004,GRP,Spain » Mallorca » Mallorca,177,Spain
Â£ ,199999,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2001,GRP,Spain » Palmanova,106,Spain
Â£ ,199990,Cabin Boat,Sunseeker power boats,"Used boat,Diesel",2001,GRP,Spain » Mallorca » Mallorca ,239,Spain
EUR ,219500,Trawler,ReLine power boats,Used boat,2009,Steel,"Netherlands » Verkoophaven IJsseldelta Marina Hattem, Geldersedi",61,Netherlands
EUR ,219500,Motor Yacht,Pacific power boats,Used boat,2006,Steel,Netherlands » In verkoophaven,74,Netherlands
EUR ,219500,Trawler,Vri-Jon power boats,Used boat,2009,Steel,Netherlands » in onze showroom,97,Netherlands
EUR ,219500,Trawler,Concordia power boats,"Used boat,Diesel",2010,Steel,Netherlands » Op aanvraag - Auf Anfrage - On request,95,Netherlands
EUR ,219000,Motor Yacht,Princess power boats,"Used boat,Diesel",2003,GRP,Croatia (Hrvatska) » INFO BOOTE RIEDL TROGIR,136,Croatia (Hrvatska)
EUR ,219000,Flybridge,Azimut power boats,"Used boat,Diesel",2002,GRP,Croatia (Hrvatska) » Kvarner,185,Croatia (Hrvatska)
EUR ,219000,Hardtop,Sessa power boats,"new boat from stock,Unleaded",2020,GRP,Italy » Toscana » Toscana,132,Italy
EUR ,219000,Hardtop,Absolute power boats,"Used boat,Diesel",2009,GRP,Spain » Costa Blanca » Alicante,143,Spain
EUR ,219000,Sport Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,PVC,"France » PORT LEUCATE, France",56,France
EUR ,219000,Trawler,Smelne power boats,Used boat,2005,Steel,Netherlands » In verkoophaven,30,Netherlands
EUR ,219000,Motor Yacht,Linssen power boats,"Used boat,Diesel",2001,Steel,Germany » Berlin » Berlin Köpenick,161,Germany
EUR ,219000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2001,GRP,Germany » Neustadt i.H.,172,Germany
EUR ,219000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2001,GRP,Netherlands » On request,73,Netherlands
EUR ,219000,Hardtop,Giorgi power boats,"Used boat,Diesel",2009,GRP,Italy,61,Italy
EUR ,219000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2001,GRP,Germany » Ostsee » Schleswig-Holstein / Ostsee,134,Germany
EUR ,219000,House Boat,Nautilus power boats,"Used boat,Electric",2020,Plastic,Germany » Malchow,363,Germany
EUR ,219000,Motor Yacht,Nimbus power boats,"Used boat,Diesel",2018,GRP,"Netherlands » Flevoland » Lelystad, Nederland",76,Netherlands
EUR ,215000,Motor Yacht,Solare power boats,"Used boat,Diesel",2006,GRP,Italy » Mar Tirreno,37,Italy
EUR ,215000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2009,GRP,Spain » Alicante,174,Spain
EUR ,215000,Motor Yacht,Dellapasqua power boats,"Used boat,Diesel",2003,GRP,Italy » Sizilien,55,Italy
EUR ,215000,Hardtop,Jeanneau power boats,"Used boat,Diesel",2019,PVC,"France » LA GRANDE MOTTE, LA GRANDE MOTTE",20,France
EUR ,215000,Motor Yacht,Nimbus power boats,"Used boat,Diesel",2019,GRP,Germany » Ausstellungshalle Traben-Trarbach,216,Germany
EUR ,215000,Flybridge,Carnevali power boats,"Used boat,Diesel",2001,GRP,Italy » Puglia,19,Italy
EUR ,215000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2008,PVC,"France » CAPBRETON, CAPBRETON",34,France
EUR ,215000,Pilothouse,Jeanneau power boats,new boat from stock,2020,GRP,"Italy » Liguria » PRESSO UNION YACHTS BROKER, Liguria",106,Italy
EUR ,215000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,PVC,"France » Deauville, France",42,France
EUR ,215000,Flybridge,Sealine power boats,"Used boat,Diesel",2006,PVC,"Spain » Alcudia, Alcudia",71,Spain
EUR ,215000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1995,GRP,Italy » Calabria,56,Italy
EUR ,215000,Flybridge,Jeanneau power boats,"Used boat,Diesel",2006,GRP,Portugal » Lisbon » Cascais,64,Portugal
EUR ,215000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2018,PVC,"France » BORMES LES MIMOSAS, France",121,France
EUR ,215000,Motor Yacht,Ferretti power boats,"Used boat,Diesel",2001,GRP,Germany » Brandenburg » Berlin / Brandenburg,138,Germany
EUR ,215000,Sport Boat,AXOPAR power boats,"Used boat,Unleaded",2019,PVC,France » 29200 BREST,140,France
EUR ,215000,Motor Yacht,Tiara power boats,Used boat,2005,GRP,Italy » Liguria » Liguria,63,Italy
EUR ,214900,Motor Yacht,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,PVC,"France » MARTIGUES, France",43,France
DKK ,1595000,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2008,GRP,Denmark » Süddänemark » Fredericia,262,Denmark
CHF ,229900,Motor Yacht,Linssen power boats,"Used boat,Diesel",2010,Steel,Switzerland » Lake Constance » Romanshorn,275,Switzerland
EUR ,214000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2001,GRP,Croatia (Hrvatska),55,Croatia (Hrvatska)
EUR ,214000,Hardtop,Jeanneau power boats,"Used boat,Diesel",2017,PVC,"Belgium » Ophoven, Maaseik",84,Belgium
EUR ,214000,Motor Yacht,Broom power boats,"Used boat,Diesel",2001,GRP,"Netherlands » Flevoland » Lelystad, Nederland",152,Netherlands
EUR ,213900,Motor Yacht,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2020,GRP,Germany » Flensburg,87,Germany
Â£ ,195000,Hardtop,Swordsman power boats,"Used boat,Diesel",2006,PVC,"United Kingdom » Burnham-on-Crouch, Burnham-on-Crouch",74,United Kingdom
EUR ,213600,Motor Yacht,Fiart Mare power boats,new boat on order,2020,PVC,France,56,France
EUR ,213000,Motor Yacht,Innovazione&Progetti power boats,"Used boat,Diesel",2007,GRP,Croatia (Hrvatska) » Dalmatia,65,Croatia (Hrvatska)
EUR ,213000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2007,GRP,Croatia (Hrvatska) » On request,66,Croatia (Hrvatska)
EUR ,210000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2007,GRP,Netherlands » Südholland » Drimmelen,253,Netherlands
EUR ,210000,Motor Yacht,Faeton power boats,"Used boat,Diesel",2017,GRP,Spain » Murcia,89,Spain
EUR ,210000,Flybridge,Cranchi power boats,"Used boat,Diesel",2004,GRP,Portugal » Vilamoura,85,Portugal
EUR ,210000,Hardtop,Airon Marine power boats,Used boat,2011,GRP,Italy » Campania » Campania,30,Italy
EUR ,210000,Motor Yacht,Princess power boats,"Used boat,Diesel",2003,GRP,Croatia (Hrvatska),62,Croatia (Hrvatska)
EUR ,210000,Motor Yacht,Siemer power boats,"Used boat,Diesel",2009,Steel,Germany » Potsdam,61,Germany
EUR ,210000,Motor Yacht,Marquis power boats,"Used boat,Diesel",2010,GRP,Greece » Athens,78,Greece
EUR ,210000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,PVC,"France » Théoule sur Mer, Théoule sur Mer",59,France
EUR ,210000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2019,PVC,"France » Ouistreham, France",65,France
EUR ,210000,Hardtop,Jeanneau power boats,"Used boat,Diesel",2018,PVC,"United States » Grado, Grado, Grado",62,United States
EUR ,210000,Trawler,Linssen power boats,"Used boat,Diesel",2002,Steel,"France » Port-Saint-Louis-du-Rhône, France",91,France
EUR ,210000,Hardtop,Bavaria power boats,"Used boat,Diesel",2015,GRP,Spain » Mallorca » Palma,90,Spain
EUR ,210000,Hardtop,Dellapasqua power boats,"Used boat,Diesel",2008,GRP,Italy » Lazio » Lazio,36,Italy
EUR ,210000,Flybridge,Abacus power boats,"Used boat,Diesel",2011,GRP,Italy » Lazio » Terracina,101,Italy
EUR ,210000,Sport Boat,Azimut power boats,"Used boat,Diesel",2005,PVC,"Portugal » Parchal, Portugal",138,Portugal
EUR ,210000,Cabin Boat,Aquador power boats,"new boat from stock,Diesel",2020,GRP,Germany » Kressbronn,180,Germany
EUR ,210000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,PVC,"France » GRANVILLE, France",64,France
EUR ,209900,Cabin Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,GRP,Germany » Bayern » Boote Pfister Schwebheim/ Schweinfurt,121,Germany
EUR ,209900,"Cabin Boat,Hardtop,Motor Yacht",Galeon power boats,"Used boat,Diesel",2017,GRP,Croatia (Hrvatska) » Punat ,141,Croatia (Hrvatska)
EUR ,209000,Motor Yacht,Elling power boats,Used boat,2001,GRP,Netherlands » In verkoophaven,64,Netherlands
EUR ,209000,Hardtop,BÃ©nÃ©teau power boats,"Display Model,Diesel",2019,GRP,Germany » Baden-Württemberg » Mannheim ,1700,Germany
EUR ,205000,Flybridge,Princess power boats,"Used boat,Diesel",1996,GRP,Portugal » Lisbon,107,Portugal
EUR ,205000,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2004,GRP,Germany » Preveza,99,Germany
EUR ,205000,Sport Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,PVC,"Spain » Barcelona, Espagne",119,Spain
EUR ,203900,Sport Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,GRP,Germany » 2,65,Germany
EUR ,203431,Hardtop,Jeanneau power boats,"new boat from stock,Unleaded",2020,PVC,Spain » Alicante (Alacant),62,Spain
CHF ,219900,Motor Yacht,Monterey power boats,"Used boat,Unleaded",2008,GRP,Switzerland » 3421 Lyssach,134,Switzerland
CHF ,219500,Hardtop,XO Boats power boats,"Used boat,Diesel",2018,Aluminium,Switzerland » Stansstad,170,Switzerland
EUR ,200516,Motor Yacht,Alfastreet Marine power boats,"new boat from stock,Unleaded",2020,GRP,Switzerland » Lake Constance » LINDAU,135,Switzerland
EUR ,200000,Motor Yacht,Princess power boats,"Used boat,Diesel",2004,GRP,France » Côte d'Azur » Bormes Les Mimosas,102,France
EUR ,200000,Hardtop,Conam power boats,"Used boat,Diesel",2007,GRP,Italy » Salerno,81,Italy
EUR ,200000,Motor Yacht,Unica Yacht power boats,"Used boat,Diesel",2006,GRP,Italy » Mar Tirreno,46,Italy
EUR ,200000,Motor Yacht,Pursuit power boats,"Used boat,Unleaded",2010,GRP,Italy » Mar Tirreno,25,Italy
EUR ,200000,Flybridge,Portofino Marine power boats,"Used boat,Diesel",2007,GRP,Italy,35,Italy
EUR ,200000,Flybridge,Cranchi power boats,"Used boat,Diesel",2009,PVC,"France » ANTIBES, France",67,France
EUR ,200000,Flybridge,Azimut power boats,"Used boat,Diesel",1999,PVC,Spain » Alicante (Alacant),86,Spain
EUR ,200000,Flybridge,Carnevali power boats,"Used boat,Diesel",2005,GRP,Italy » Campania » Campania,46,Italy
EUR ,200000,Hardtop,Sessa power boats,"Used boat,Diesel",2017,GRP,Italy » Mar Tirreno,73,Italy
EUR ,200000,Cabin Boat,Greenline power boats,Used boat,2019,GRP,Lithuania » Klaipeda,190,Lithuania
EUR ,200000,Motor Yacht,Tiara power boats,"Used boat,Diesel",2007,GRP,Croatia (Hrvatska),87,Croatia (Hrvatska)
EUR ,199900,Hardtop,Jeanneau power boats,"Used boat,Unleaded",2018,GRP,Croatia (Hrvatska) » Kroatien,68,Croatia (Hrvatska)
EUR ,199900,Center console boat,De Antonio Yachts power boats,"new boat on order,Unleaded",2020,GRP,Switzerland » Lake Geneva » MEINIER ,207,Switzerland
EUR ,199900,Cabin Boat,Gobbi power boats,"Used boat,Diesel",2004,GRP,France » Côte d'Azur » Les Marines de Cogolin,111,France
EUR ,199900,Trawler,Babro power boats,Used boat,2007,Steel,Netherlands » In verkoophaven,82,Netherlands
EUR ,199500,Motor Yacht,Princess power boats,"Used boat,Diesel",2003,GRP,Croatia (Hrvatska) » On request,254,Croatia (Hrvatska)
EUR ,199000,Flybridge,Princess power boats,"Used boat,Diesel",1997,GRP,Italy » Lignano,87,Italy
EUR ,199000,Flybridge,Astondoa power boats,"Used boat,Diesel",2003,GRP,Croatia (Hrvatska),141,Croatia (Hrvatska)
EUR ,199000,Motor Yacht,Conam power boats,"Used boat,Diesel",2006,GRP,Croatia (Hrvatska) » INFO BOOTE RIEDL NOVIGRAD,167,Croatia (Hrvatska)
EUR ,199000,Trawler,Ijlstervlet power boats,"Used boat,Diesel",2009,Steel,Netherlands » onbekend,72,Netherlands
EUR ,199000,Sport Boat,Nimbus power boats,"new boat from stock,Unleaded",2019,GRP,Germany » Info Nautic Yachting,73,Germany
EUR ,199000,Fishing Boat,Wellcraft power boats,"Used boat,Diesel",2006,GRP,Croatia (Hrvatska),36,Croatia (Hrvatska)
EUR ,199000,Runabout,Boesch power boats,"Used boat,Electric",2013,Wood,Austria » Wörthersee,122,Austria
EUR ,199000,Hardtop,Galeon power boats,"Used boat,Diesel",2016,GRP,Spain » Mallorca » Mallorca ,131,Spain
EUR ,199000,Motor Yacht,Fairline power boats,"Used boat,Diesel",1997,GRP,Germany » Mecklenburg-Vorpommern » Mecklenburg-Vorpommern ,240,Germany
EUR ,199000,Trawler,Pikmeerkruiser power boats,Used boat,2005,Steel,Netherlands » Grou,132,Netherlands
EUR ,199000,Sport Boat,Fjord power boats,"Used boat,Diesel",2010,GRP,Spain » Mallorca » Cala d' Or,119,Spain
EUR ,199000,Flybridge,Astondoa power boats,"Used boat,Diesel",2009,GRP,Spain » Mallorca » Palma ,55,Spain
EUR ,199000,Hardtop,Performance power boats,"Used boat,Diesel",2004,GRP,Croatia (Hrvatska) » Istra,146,Croatia (Hrvatska)
EUR ,199000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2011,PVC,"France » LA ROCHELLE, LA ROCHELLE",115,France
EUR ,199000,Sport Boat,Baia power boats,"Used boat,Diesel",2006,GRP,Spain » Ibiza,101,Spain
EUR ,199000,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2015,GRP,Germany » Altenkrempe,111,Germany
EUR ,199000,Motor Yacht,Knierim Yachtbau power boats,"Used boat,Diesel",2008,GRP,Germany » Hamburg » HAMBURG,110,Germany
EUR ,199000,Motor Yacht,Lagoon power boats,Used boat,2002,GRP,"Netherlands » Jachthaven Cadzand, Maritiem Plaza 2, 4506 KZ, Ned",75,Netherlands
EUR ,199000,Motor Yacht,Jeanneau power boats,Used boat,2019,PVC,"Croatia (Hrvatska) » Split, Croatie",36,Croatia (Hrvatska)
EUR ,199000,Hardtop,Nimbus power boats,"Used boat,Diesel",2012,GRP,Germany » Lübecker Bucht » Grömitz,163,Germany
EUR ,199000,Catamaran,Leopard power boats,"Used boat,Diesel",2015,GRP,"Greece » Gouvia,Corfu",137,Greece
EUR ,199000,Flybridge,Princess power boats,"Used boat,Diesel",1993,GRP,Spain » Alicante,152,Spain
EUR ,199000,Flybridge,Pacific power boats,Used boat,2003,Steel,"Denmark » Assens, Denemarken (650 km van Utrecht)",104,Denmark
EUR ,199000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2009,PVC,"France » dunkerque, France",75,France
EUR ,199000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2010,GRP,France » Alpes Maritimes » Sete,113,France
EUR ,199000,Motor Yacht,Galeon power boats,"Used boat,Diesel",2015,GRP,Germany » Berlin » Nähe Berlin,139,Germany
EUR ,199000,Motor Yacht,Riva power boats,"Used boat,Diesel",1996,GRP,Italy » Lazio » Lazio,107,Italy
EUR ,198863,Sport Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,PVC,Spain » Hospitalet del Infante,69,Spain
EUR ,198500,Cabin Boat,Invictus power boats,"new boat from stock,Unleaded",2020,GRP,Switzerland » Lake Geneva » Le Bouveret ,206,Switzerland
EUR ,198500,Sport Boat,Invictus power boats,"new boat on order,Diesel",2020,GRP,Switzerland » Lake Constance » Goldach ,161,Switzerland
EUR ,198000,Trawler,Valkkruiser power boats,Used boat,2004,Steel,Netherlands » In verkoophaven,44,Netherlands
EUR ,198000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2008,GRP,Germany » Rhein » Holl. Grenze,113,Germany
EUR ,198000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2009,GRP,Netherlands » Niederlande,175,Netherlands
EUR ,198000,Cabin Boat,Nimbus power boats,new boat on order,2020,GRP,Switzerland » Lake Constance » Bottighofen ,206,Switzerland
EUR ,198000,Center console boat,Fiart Mare power boats,Used boat,2008,GRP,Italy » Campania » Campania,45,Italy
EUR ,198000,Trawler,Linssen power boats,"Used boat,Diesel",2011,Steel,Germany » Brandenburg » Zehdenick ,148,Germany
EUR ,198000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2005,GRP,Spain » Mallorca » Mallorca ,161,Spain
EUR ,198000,Motor Yacht,Princess power boats,"Used boat,Diesel",2004,GRP,Croatia (Hrvatska) » Novigrad,140,Croatia (Hrvatska)
EUR ,198000,Flybridge,President power boats,Used boat,1991,GRP,Netherlands » regio Breda,158,Netherlands
EUR ,198000,Hardtop,Bavaria power boats,"Used boat,Unleaded",2016,GRP,Germany » Barth,123,Germany
CHF ,211000,Motor Yacht,A. Mostes power boats,"Display Model,Unleaded",2021,GRP,Switzerland » Lake of Zurich » Zürichsee ,307,Switzerland
EUR ,195000,Flybridge,Jeanneau power boats,"Used boat,Diesel",2008,GRP,Croatia (Hrvatska) » Zadar,134,Croatia (Hrvatska)
EUR ,195000,"Classic,Runabout",Pedrazzini power boats,"Used boat,Unleaded",1986,Wood,Italy » Menaggio Comer See,189,Italy
EUR ,195000,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2004,GRP,Italy » Veneto » Veneto,108,Italy
EUR ,195000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,GRP,Spain » Cala d'or,144,Spain
EUR ,195000,Trawler,Linssen power boats,Used boat,2002,Steel,Netherlands » In verkoophaven,87,Netherlands
EUR ,195000,Motor Yacht,Apreamare power boats,"Used boat,Diesel",2009,GRP,Italy » Nord Adria,104,Italy
EUR ,195000,Flybridge,Azimut power boats,"Used boat,Diesel",2005,PVC,"Portugal » Parchal, Portugal",82,Portugal
EUR ,195000,Pilothouse,Boston Whaler power boats,"Used boat,Unleaded",2014,PVC,"France » PORNICHET, PORNICHET",129,France
EUR ,195000,Flybridge,Princess power boats,"Used boat,Diesel",1997,GRP,Croatia (Hrvatska),80,Croatia (Hrvatska)
EUR ,195000,Hardtop,Cranchi power boats,"Used boat,Diesel",2008,GRP,Croatia (Hrvatska),103,Croatia (Hrvatska)
EUR ,195000,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2011,GRP,Spain » Mallorca » Mallorca ,106,Spain
EUR ,195000,Hardtop,Cranchi power boats,Used boat,2006,GRP,Italy » Campania » Campania,54,Italy
EUR ,195000,Sport Boat,Sunseeker power boats,"Used boat,Diesel",2008,GRP,Spain » Mallorca » Mallorca ,251,Spain
EUR ,195000,Cabin Boat,Fjord power boats,"Used boat,Diesel",2008,GRP,France » Côte d'Azur » Port Grimaud,88,France
EUR ,195000,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2005,GRP,Croatia (Hrvatska),41,Croatia (Hrvatska)
EUR ,195000,Sport Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,PVC,"France » Antibes, Antibes",30,France
EUR ,195000,Motor Yacht,Orskov Skibsvaerft power boats,"Used boat,Diesel",1967,Steel,Germany » Weser,125,Germany
EUR ,195000,Flybridge,Ferretti power boats,"Used boat,Diesel",2003,GRP,Croatia (Hrvatska),54,Croatia (Hrvatska)
EUR ,195000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2007,PVC,"France » ARZON, France",79,France
EUR ,195000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2003,GRP,Malta » .,110,Malta
EUR ,195000,Motor Yacht,Flipper power boats,"new boat from stock,Unleaded",2020,GRP,Finland » Finnland,126,Finland
EUR ,195000,Motor Yacht,BÃ©nÃ©teau power boats,Used boat,2008,GRP,Netherlands » onbekend,98,Netherlands
EUR ,195000,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2011,GRP,Germany » Rhein » Koblenz,334,Germany
EUR ,193000,Motor Yacht,Bavaria power boats,"Display Model,Unleaded",2020,GRP,Germany » Worms,123,Germany
EUR ,192570,Hardtop,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,PVC,"France » les sables d olonne, France",97,France
CHF ,204000,Fishing Boat,Ocean Master (US) power boats,"Display Model,Diesel",2002,GRP,Switzerland » Luganersee » Bioggio,187,Switzerland
CHF ,204000,Motor Yacht,Aquador power boats,"Used boat,Diesel",2019,GRP,Switzerland » Vierwaldstättersee » Horw,260,Switzerland
